buying (fall) percent,selling (rise) percent,profit
0.0,0.8,278.12293248068977
0.0,0.0,85.1761210666075
0.0,1.6,254.9972418467803
0.0,2.4,185.5473838906987
0.2,0.0,14.519761028717994
0.2,1.6,267.16211008831306
0.2,0.8,396.68401239845593
0.2,2.4,317.9069354022281
0.4,0.0,16.62031349566223
0.4,0.8,804.2130372631473
0.4,1.6,414.6507997023373
0.4,2.4,299.8791383777534
0.6,0.0,13.848753845108945
0.6,0.8,22.520208530969626
0.6,1.6,577.2572744307192
0.6,2.4,365.57068042554556
0.8,0.0,13.647395014259587
0.8,0.8,13.647395014259587
0.8,1.6,751.6386380517972
0.8,2.4,528.3754154122514
1.0,0.0,13.647395014259587
1.0,0.8,13.647395014259587
1.0,1.6,926.9833071007829
1.0,2.4,666.6950103448114
1.2,0.0,13.647395014259587
1.2,0.8,13.647395014259587
1.2,1.6,31.55582234954568
1.2,2.4,31.55582234954568
1.4,0.0,13.647395014259587
1.4,0.8,13.647395014259587
1.4,1.6,31.55582234954568
1.4,2.4,31.55582234954568
1.6,0.0,13.647395014259587
1.6,0.8,13.647395014259587
1.6,1.6,31.55582234954568
1.6,2.4,31.55582234954568
1.8,0.0,13.647395014259587
1.8,0.8,13.647395014259587
1.8,1.6,31.55582234954568
1.8,2.4,31.55582234954568
2.0,0.0,13.647395014259587
2.0,0.8,13.647395014259587
2.0,1.6,31.55582234954568
2.0,2.4,31.55582234954568
2.2,0.0,13.647395014259587
2.2,0.8,13.647395014259587
2.2,1.6,31.55582234954568
2.2,2.4,31.55582234954568
2.4,0.0,13.647395014259587
2.4,0.8,13.647395014259587
2.4,1.6,31.55582234954568
2.4,2.4,31.55582234954568
2.6,0.0,13.647395014259587
2.6,0.8,13.647395014259587
2.6,1.6,31.55582234954568
2.6,2.4,31.55582234954568
2.8,0.0,13.647395014259587
2.8,0.8,13.647395014259587
2.8,1.6,31.55582234954568
2.8,2.4,31.55582234954568
3.0,0.0,13.647395014259587
3.0,0.8,13.647395014259587
3.0,1.6,31.55582234954568
3.0,2.4,31.55582234954568
3.2,0.0,13.647395014259587
3.2,0.8,13.647395014259587
3.2,1.6,31.55582234954568
3.2,2.4,31.55582234954568
3.4,0.0,13.647395014259587
3.4,0.8,13.647395014259587
3.4,1.6,31.55582234954568
3.4,2.4,31.55582234954568
3.6,0.0,0
3.6,0.8,0
3.6,1.6,0
3.6,2.4,0
3.8,0.0,0
3.8,0.8,0
3.8,1.6,0
3.8,2.4,0
4.0,0.0,0
4.0,0.8,0
4.0,1.6,0
4.0,2.4,0
4.2,0.0,0
4.2,0.8,0
4.2,1.6,0
4.2,2.4,0
4.4,0.0,0
4.4,0.8,0
4.4,1.6,0
4.4,2.4,0
4.6,0.0,0
4.6,0.8,0
4.6,1.6,0
4.6,2.4,0
4.8,0.0,0
4.8,0.8,0
4.8,1.6,0
4.8,2.4,0
5.0,0.0,0
5.0,0.8,0
5.0,1.6,0
5.0,2.4,0
5.2,0.0,0
5.2,0.8,0
5.2,1.6,0
5.2,2.4,0
5.4,0.0,0
5.4,0.8,0
5.4,1.6,0
5.4,2.4,0
5.6,0.0,0
5.6,0.8,0
5.6,1.6,0
5.6,2.4,0
5.8,0.0,0
5.8,0.8,0
5.8,1.6,0
5.8,2.4,0
6.0,0.0,0
6.0,0.8,0
6.0,1.6,0
6.0,2.4,0
6.2,0.0,0
6.2,0.8,0
6.2,1.6,0
6.2,2.4,0
6.4,0.0,0
6.4,0.8,0
6.4,1.6,0
6.4,2.4,0
6.6,0.0,0
6.6,0.8,0
6.6,1.6,0
6.6,2.4,0
6.8,0.0,0
6.8,0.8,0
6.8,1.6,0
6.8,2.4,0
7.0,0.0,0
7.0,0.8,0
7.0,1.6,0
7.0,2.4,0
7.2,0.0,0
7.2,0.8,0
7.2,1.6,0
7.2,2.4,0
7.4,0.0,0
7.4,0.8,0
7.4,1.6,0
7.4,2.4,0
7.6,0.0,0
7.6,0.8,0
7.6,1.6,0
7.6,2.4,0
7.8,0.0,0
7.8,0.8,0
7.8,1.6,0
7.8,2.4,0
8.0,0.0,0
8.0,0.8,0
8.0,1.6,0
8.0,2.4,0
8.2,0.0,0
8.2,0.8,0
8.2,1.6,0
8.2,2.4,0
8.4,0.0,0
8.4,0.8,0
8.4,1.6,0
8.4,2.4,0
8.6,0.0,0
8.6,0.8,0
8.6,1.6,0
8.6,2.4,0
8.8,0.0,0
8.8,0.8,0
8.8,1.6,0
8.8,2.4,0
9.0,0.0,0
9.0,0.8,0
9.0,1.6,0
9.0,2.4,0
9.2,0.0,0
9.2,0.8,0
